username,userid,profile_location,created_at,text,retweet_count,source,coordinates
habberdabber,1360585016,"Richmond, VA",2023-01-21 17:44:09,not too many homeless people at the white house. maybe try the streets to make an impact... https://t.co/PLpPucKYKD,0,Twitter Web App,
NJ McG,448212956,Richmond VA,2023-01-21 17:23:42,@SenatorLankford Why are families Hungary and homeless? Has nothing to do with a woman’s vagina,0,Twitter for iPhone,
Twit or Tweet,1589122955480637440,"Richmond, VA",2023-01-21 14:56:59,@christianamusk @KITRO_FoodWaste @unreasonable Could an initial step toward combating food waste be creating a logi… https://t.co/opZJ3JDLST,0,Twitter for Android,
Twit or Tweet,1589122955480637440,"Richmond, VA",2023-01-21 14:43:45,@LAmag @MayorOfLA @POTUS Then she needs to use the Billions of dollars she has already received from the Federal go… https://t.co/c6ThEW3HEn,0,Twitter for Android,
Twit or Tweet,1589122955480637440,"Richmond, VA",2023-01-21 14:37:23,@MayorOfLA @POTUS California has been given billions to confront the homeless problem. Where has all the money gone… https://t.co/RCvvfxaVef,0,Twitter for Android,
jennifer walters (she/they),829181435730866178,"Richmond, Va, USA",2023-01-21 03:25:10,@Jim_Jordan Then why do cops keep killing so many Black folks? why do we have starving kids? Why do our kids get sh… https://t.co/1gSMhaZSqE,0,Twitter for iPhone,
Jennifer C. Martin,19188730,"Richmond, VA",2023-01-20 22:49:50,@J_K_Chesterton @LordRavenscraft i assure you homeless people would rather have more affordable housing and fewer s… https://t.co/UJQGLuAuyZ,0,Twitter Web App,
Jennifer C. Martin,19188730,"Richmond, VA",2023-01-20 21:26:10,@J_K_Chesterton @LordRavenscraft creating housing scarcity by increasing number of renters + number of homeless peo… https://t.co/RU7FRJpGgt,0,Twitter Web App,
john saintsfc Anstey,31137678,Staffordshire,2023-01-20 21:14:33,@SoTCityCouncil &amp; a city centre full of empty shops &amp; homeless folk 🙈👎 Take your blinkers off &amp; have a real look at… https://t.co/doGRbXCKdm,1,Twitter for iPhone,
AshNoCakes,117904895,"Richmond, VA",2023-01-20 21:09:05,The Hatchet Wielding Hitchhiker is a wild ride with soooo many layers to unpack but of the biggest takeaways is how… https://t.co/S65KIi0AJ3,0,Twitter for iPhone,
Staffordshire Live,984073458165469184,Staffordshire,2023-01-20 20:01:00,"The latest figures have been released for Staffordshire by Shelter

https://t.co/pqbvvrDQ9I",0,TweetDeck,
Ali Faruk,978736158359343105,"Richmond, VA",2023-01-20 14:31:08,@MzFtz While opposing affordable housing or services for homeless people,0,Twitter for Android,
Old Mechanic 🩸🇺🇸,1518948335847153664,"Richmond, VA",2023-01-20 14:19:24,"Gallery Owner Who Hosed Homeless Woman In San Francisco Arrested

He has money. The homeless don't. Who do you THIN… https://t.co/qA67RH0sPe",0,Twitter Web App,
Dave Curwen,337189544,Staffordshire,2023-01-20 12:58:11,"@kreppant I totally agree, even so, some of the homeless seem to have conditioned themselves to the way of life and… https://t.co/KtfoFnY3o2",0,Twitter for Android,
8News WRIC Richmond,23948496,"Richmond, Virginia",2023-01-20 12:52:00,Blacksburg man plans to feed homeless with $100k lottery winnings https://t.co/gLjJqms3SV,4,SocialFlow,
Twit or Tweet,1589122955480637440,"Richmond, VA",2023-01-20 12:24:33,@JoeBiden Meanwhile we are bleeding out American tax dollars to the time of billions to the Ukraine while our homel… https://t.co/lMHClPYDo2,0,Twitter for Android,
Twit or Tweet,1589122955480637440,"Richmond, VA",2023-01-20 12:14:14,@FoxNews We are bleeding taxpayer dollars while our homeless are freezing to death. Just sayin'.,0,Twitter for Android,
Fabian Liberty,1487582199188758538,"Richmond, Virginia",2023-01-20 08:54:55,@Timmay1Timmay @DylanBurns1776 You don't think some boys are kissing that are homeless and on drugs? 🤣🤣🤣🤣,0,Twitter for Android,
Alex Stock 🦝,1610057671222108161,"Richmond, VA",2023-01-20 04:42:49,"@mnolangray Where the hell was this guy? Insanely expensive rent, homeless people everywhere, $10 an hour for parki… https://t.co/X1BXcUCT5N",0,Twitter for iPhone,
Dr Sheryl D Baldwin,25562160,"Richmond, VA",2023-01-19 22:49:12,Homeless persons were sleeping inside DC Metro entrances mid-late 90s. Solution that finally encouraged them to fin… https://t.co/6i6aOVzl4K,0,Twitter Web App,
Courtney Pollard,1093201145080754178,"Mechanicsville, VA",2023-01-19 19:21:08,"@blackkingkofi A prep kitchen for all food trucks,caters, and open for volunteers to use to cook for the homeless s… https://t.co/26TiTDUNnU",0,Twitter for iPhone,
NBC12 WWBT Richmond,19151000,"Richmond, VA",2023-01-19 15:57:33,An arrest warrant has been issued for the art gallery owner. https://t.co/Odd8UHtvmP,0,SocialNewsDesk,
8News WRIC Richmond,23948496,"Richmond, Virginia",2023-01-19 15:46:34,SF art gallery owner filmed spraying homeless woman with hose has been arrested https://t.co/KS9jsjCXut,0,SocialFlow,
DréNyce8️⃣0️⃣4️⃣,1501836761743466496,"Richmond, VA",2023-01-19 15:10:45,@nojumper UPDATE: The man in the video spraying the homeless black woman with a water hoes has been arrested.,0,Twitter for iPhone,
DréNyce8️⃣0️⃣4️⃣,1501836761743466496,"Richmond, VA",2023-01-19 15:10:23,@nojumper UPDATE: The man in the video spraying the homeless black woman with a water hoes has been arrested.,0,Twitter for iPhone,
DréNyce8️⃣0️⃣4️⃣,1501836761743466496,"Richmond, VA",2023-01-19 15:09:58,@nojumper UPDATE: The man in the video spraying the homeless black woman with a water hoes has been arrested.,0,Twitter for iPhone,
Goad Gatsby,2816039779,"Richmond, VA",2023-01-19 14:09:00,@kronstadtgracie I borrow them from homeless men,0,Twitter for Android,
s clinton,179598231,Staffordshire,2023-01-19 13:53:01,Prince William goes to a charity previously visited by Diana https://t.co/5Vfq9zwmzb @Femail,0,Twitter for Android,
Will,1011055654373593088,"Richmond, VA",2023-01-19 11:47:53,"@DailyLoud These homeless in this generation are arrogant.  Be thankful that someone is giving you anything, becaus… https://t.co/C3AMVJtayX",0,Twitter for Android,
petej,1545543349,staffordshire,2023-01-19 11:03:46,@reformparty_uk @REF0RMPARTY @TiceRichard very disappointing to hear your views on one of the few mp's @ABridgen br… https://t.co/Zivja56dNm,0,Twitter Web App,
NBC12 WWBT Richmond,19151000,"Richmond, VA",2023-01-19 04:45:00,"A great prize that's going to a great cause! 🎉 Way to go, Nicolas!  https://t.co/0c7rNsjLLV",0,SocialNewsDesk,
Vance Pilkington,25928815,"Richmond, Virginia",2023-01-19 00:57:33,"Spent 45 minutes walking around downtown Phoenix. I saw some great buildings, a nice park, and a bunch of boujie-lo… https://t.co/hkhviNb5kL",0,Twitter for iPhone,
Nixx,4475226263,"Richmond, VA",2023-01-18 07:57:36,"@novamutualaid I’m about to be homeless in a couple days and although I’ve started a new job, I won’t be getting pa… https://t.co/RNquOtruD2",0,Twitter for iPad,
Nixx,4475226263,"Richmond, VA",2023-01-18 07:39:29,I don’t have many followers on here but at this point I have no where to turn. I’m going to be homeless in a few da… https://t.co/4rXtUn44Wj,5,Twitter for iPad,
Nixx,4475226263,"Richmond, VA",2023-01-18 07:34:52,@MutualAidBoost Im about to be homeless in a couple days and could really use the help to secure a place and turn o… https://t.co/lE3xFHpfGG,0,Twitter for iPad,
Yk808,141032333,"Richmond, VA",2023-01-18 00:10:13,I had a homeless mfr ask me for a couple dollars for food.. I don’t carry cash offered to buy him something out the… https://t.co/7NGVv6eX0w,0,Twitter for iPhone,
Bohemian Diva,87926934,"Richmond, VA",2023-01-17 16:46:20,I got denied a business business loan a series of rejections when it comes to funding for my business. I see all th… https://t.co/tUsOHKuZZE,0,Twitter for iPhone,
Ben DeSantis,587022733,"Richmond, VA",2023-01-17 15:36:13,@missmayn Nah you’re muting this because you put out a tweet that seems to equate people liking Disney to people ha… https://t.co/YjSkUBGukG,0,Twitter for iPhone,
CashSlingingSlasher,3390420802,"Richmond, VA",2023-01-16 22:26:58,@DailyLoud Imagine being so homeless that people actually think classical music will keep you away,0,Twitter for iPhone,
Governor Glenn Youngkin,1481701998273650692,"Richmond, VA",2023-01-16 20:53:50,"Today, First Lady Suzanne Youngkin and I honored Dr. Martin Luther King Jr.’s life of service by volunteering at th… https://t.co/miZVDLgfQT",33,Twitter for iPhone,
DréNyce8️⃣0️⃣4️⃣,1501836761743466496,"Richmond, VA",2023-01-16 18:27:32,Nobody in the United States of America should be homeless. We should do more to help the homeless all this money fo… https://t.co/rHyhba14i9,0,Twitter for iPhone,
Old Mechanic 🩸🇺🇸,1518948335847153664,"Richmond, VA",2023-01-16 13:12:33,"Redding, California, Uses Public Health Red Tape To Ban Sharing Food With Homeless

https://t.co/4WGD0sjKCV",9,Twitter Web App,
JP,83940710,Midlothian Virginia,2023-01-15 18:25:01,"I wonder if it would be possible to end the homeless problem by privatizing the problem.
1. Federal grants to repur… https://t.co/438OLW5vw2",0,Twitter Web App,
Omega Gamma Zeta,346193012,"Chesterfield, Virginia",2023-01-15 16:48:27,"the sorority’s 1,046 undergraduate and graduate chapters in the U.S. and abroad continue to be pillars of outreach… https://t.co/gNQArPW2sw",0,Twitter for Android,
"Zoompad DANCER OF JOY, VEGAN #LOVE IS THE ANSWER",34439235,Staffordshire,2023-01-15 08:58:52,@DrRebeccaTidy @airbnbs The bunch of gangsters (can hardly call them a government) made squatting illegal. They've… https://t.co/t0Y7xZN1Xk,2,Twitter for Android,
RubyCrystals34,1483618063333396481,"Chesterfield, Virginia",2023-01-15 04:56:24,@sub0ru Your music was so fire you burned their houses down. Now all these FNF fans are left homeless because you g… https://t.co/301A57UclL,0,Twitter Web App,
FinestNiggyJay🍇,850553331294625792,"Richmond, VA",2023-01-15 04:22:31,@KevinMcCollum28 @Soccer13207254 @HumansNoContext Look into a lot of those programs along with homeless shelters an… https://t.co/pnNKps0cn9,0,Twitter for iPhone,
CougarSpider,1525855540617830401,"Richmond, Virginia",2023-01-15 04:12:27,@ThomasSwords @mistahbuhau Certainly SOMETHING is going on there when you're homeless for a prolonged period of tim… https://t.co/33Rug1KV6h,0,Twitter Web App,
